"astro-ph/0110093","Chung-Pei Ma","Nick Sarbu, David Rusin and Chung-Pei Ma (U Penn; UC Berkeley)","Strong Gravitational Lensing and Dark Energy","12 pages, 3 figures. Accepted for publication in ApJ Letters","Astrophys.J. 561 (2001) L147-L151","10.1086/324679",,"astro-ph hep-ph",,"  We investigate the statistics of gravitational lenses in flat, low-density
cosmological models with different cosmic equations of state w. We compute the
lensing probabilities as a function of image separation \theta using a lens
population described by the mass function of Jenkins et al. and modeled as
singular isothermal spheres on galactic scales and as Navarro, Frenk & White
halos on cluster scales. It is found that COBE-normalized models with w > - 0.4
produce too few arcsecond-scale lenses in comparison with the JVAS/CLASS radio
survey, a result that is consistent with other observational constraints on w.
The wide-separation (\theta > 4'') lensing rate is a particularly sensitive
probe of both w and the halo mass concentration. The absence of these systems
in the current JVAS/CLASS data excludes highly concentrated halos in w < -0.7
models. The constraints can be improved by ongoing and future lensing surveys
of > 10^5 sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:07:19 GMT""}]","2009-11-07"
"math/0110057","Jim Conant","Jim Conant","On a theorem of Goussarov",,"J. Knot Theory Ramifications, Vol. 12, No. 1 (2003) 47-52",,,"math.GT",,"  In this paper, the easier methods of my thesis are applied to give a simple
proof of a theorem of Goussarov. The theorem relates two possible notions of
finite type equivalence of knots, links or string links, showing that the
resulting filtrations are the same up to a degree shift by a factor of two.
This is then applied to the situation of rooted claspers to show that rooted
claspers of sufficiently high degree must preserve type k invariants. As a
consequence, grope cobordisms of sufficiently high class must preserve type k
invariants. This result is applied in math.GT/0012118, to show Theorem 2 of
that paper.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 22:36:18 GMT""}]","2007-05-23"
"math/0110058","Allen Knutson","Allen Knutson, Ezra Miller","Gr\""obner geometry of Schubert polynomials","53 pages. This version is around half the length of v2, having been
  trimmed and completely reorganized. This is the final version, to appear in
  Annals of Mathematics. A substantial chunk of the cut material, on subword
  complexes, appears in its own paper (math.CO/0309259)","Annals of Mathematics 161 (May 2005), 1245-1318",,,"math.AG math.AC math.CO",,"  Our main theorems provide a single geometric setting in which polynomial
representatives for Schubert classes in the integral cohomology ring of the
flag manifold are determined uniquely, and have positive coefficients for
geometric reasons. This results in a geometric explanation for the naturality
of Schubert polynomials and their associated combinatorics.
  Given a permutation w in S_n, we consider a determinantal ideal I_w whose
generators are certain minors in the generic n x n matrix (filled with
independent variables). Using `multidegrees' as simple algebraic substitutes
for torus-equivariant cohomology classes on vector spaces, our main theorems
describe, for each ideal I_w:
  - variously graded multidegrees and Hilbert series in terms of ordinary and
double Schubert and Grothendieck polynomials;
  - a Gr\""obner basis consisting of minors in the generic n x n matrix;
  - the Stanley-Reisner complex of the initial ideal in terms of known
combinatorial diagrams associated to permutations in S_n; and
  - a procedure inductive on weak Bruhat order for listing the facets of this
complex, thereby generating the coefficients of Schubert polynomials by a
positive recursion on combinatorial diagrams.
  We show that the initial ideal is Cohen-Macaulay, by identifying the
Stanley-Reisner complex as a special kind of ``subword complex in S_n'', which
we define generally for arbitrary Coxeter groups, and prove to be shellable by
giving an explicit vertex decomposition. We also prove geometrically a general
positivity statement for multidegrees of subschemes.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 01:07:53 GMT""},{""version"":""v2"",""created"":""Mon, 11 Feb 2002 20:47:52 GMT""},{""version"":""v3"",""created"":""Wed, 17 Sep 2003 06:27:04 GMT""}]","2010-04-26"
"math/0110059","Arnaud Bodin","Arnaud Bodin","Irregular fibers of complex polynomials in two variables","12 pages, LaTex2e",,,,"math.AG math.GT",,"  For a complex polynomial in two variables we study the morphism induced in
homology by the embedding of an irregular fiber in a regular neighborhood of
it. We give necessary and sufficient conditions for this morphism to be
injective, surjective. Particularly this morphism is an isomorphism if and only
if the corresponding irregular value is regular at infinity. We apply these
results to the study of vanishing and invariant cycles.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 06:25:18 GMT""}]","2007-05-23"
"math/0110060","Peter Mueller","Peter Mueller","Permutation Groups with a Cyclic Two-Orbits Subgroup and Monodromy
  Groups of Siegel Functions",,,,,"math.GR math.NT",,"  We classify the finite primitive permutation groups which have a cyclic
subgroup with two orbits. This extends classical topics in permutation group
theory, and has arithmetic consequences. By a theorem of C. L. Siegel, affine
algebraic curves with infinitely many integral points are parametrized by
rational functions whose monodromy groups have this property. We classify the
possibilities of these monodromy groups, and give an application to Hilbert's
irreducibility theorem.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:28:02 GMT""}]","2007-05-23"
"math/0110061","L. Montejano","L. Montejano, E.V. Shchepin","On periodic homeomorphisms of spheres","Published by Algebraic and Geometric Topology at
  http://www.maths.warwick.ac.uk/agt/AGTVol1/agt-1-22.abs.html","Algebr. Geom. Topol. 1 (2001) 435-444","10.2140/agt.2001.1.435",,"math.GT",,"  The purpose of this paper is to study how small orbits of periodic
homemorphisms of spheres can be.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:54:59 GMT""}]","2014-10-01"
"math/0110062","Myrzakulov Ratbay","Kuralay Myrzakul, R.Myrzakulov","Geometry and integrability of the M-LXIX equation","5 pages, Latex, no figures",,,,"math.DG",,"  The L-equivalent counterpart of the M-LXIX equation is found. This
L-equivalent equation is the Gauss-Codazzi equation which is integrable by the
dressing method. This means that the M-LXIX equation is also integrable in this
sense.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:23:17 GMT""}]","2007-05-23"
"math/0110063","Stefaan Caenepeel","D. Bulacu and S. Caenepeel","Integrals for (dual) quasi-Hopf algebras. Applications","25 pages; new version with minor corrections",,,,"math.QA math.RA",,"  A classical result in the theory of Hopf algebras concerns the uniqueness and
existence of integrals: for an arbitrary Hopf algebra, the integral space has
dimension $\leq 1$, and for a finite dimensional Hopf algebra, this dimension
is exaclty one. We generalize these results to quasi-Hopf algebras and dual
quasi-Hopf algebras. In particular, it will follow that the bijectivity of the
antipode follows from the other axioms of a finite dimensional quasi-Hopf
algebra. We give a new version of the Fundamental Theorem for quasi-Hopf
algebras. We show that a dual quasi-Hopf algebra is co-Frobenius if and only if
it has a non-zero integral. In this case, the space of left or right integrals
has dimension one.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 12:12:32 GMT""},{""version"":""v2"",""created"":""Fri, 18 Oct 2002 13:41:29 GMT""}]","2007-05-23"
"math/0110064","Ronald Brown","Ronald Brown, Ilhan Icen, Osman Mucuk","Holonomy and monodromy groupoids","12 pages, LaTeX2E, xypic 3-rd Conference Geometry and Topology of
  Manifolds, Krynica 29.04.2001-5.05.2001 (Poland)",,,,"math.DG math.CT",,"  We outline the construction of the holonomy groupoid of a locally Lie
groupoid and the monodromy groupoid of a Lie groupoid. These specialise to the
well known holonomy and monodromy groupoids of a foliation, when the groupoid
is just an equivalence relation.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:20:49 GMT""}]","2007-05-23"
"math/0110065","Paul-Andi Nagy","Paul-Andi Nagy","On nearly Kaehler geometry","10 pages",,,,"math.DG",,"  We consider complete nearly K\""ahler manifolds with the canonical Hermitian
connection. We prove some metric properties of strict nearly K\""ahler manifolds
and give a sufficient condition for the reducibility of the canonical Hermitian
connection. A holonomic condition for a nearly K\""ahler manifold to be a
twistor space over a quaternionic K\""ahler manifold is given. This enables us
to give classification results in 10-dimensions.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:30:11 GMT""}]","2007-05-23"
"nlin/0110005","Dr. Joerg Main","K. Weibert, J. Main, G. Wunner","Periodic orbit quantization of chaotic maps by harmonic inversion","7 pages, 1 figure, accepted for publication in Phys. Lett. A","Phys. Lett. A 289 (2001) 329","10.1016/S0375-9601(01)00637-5",,"nlin.CD",,"  A method for the semiclassical quantization of chaotic maps is proposed,
which is based on harmonic inversion. The power of the technique is
demonstrated for the baker's map as a prototype example of a chaotic map.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:04:49 GMT""}]","2009-11-07"
"nlin/0110006","Bogomolny","E. Bogomolny and O. Giraud","Semi-classical calculations of the two-point correlation form factor for
  diffractive systems","42 pages, 10 figures, Latex",,"10.1088/0951-7715/15/4/302",,"nlin.CD",,"  The computation of the two-point correlation form factor K(t) is performed
for a rectangular billiard with a small size impurity inside for both periodic
or Dirichlet boundary conditions. It is demonstrated that all terms of
perturbation expansion of this form factor in powers of t can be computed
directly by semiclassical trace formula. The main part of the calculation is
the summation of non-diagonal terms in the cross product of classical orbits.
When the diffraction coefficient is a constant our results coincide with
expansion of exact expressions ontained by a different method.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 10:15:12 GMT""}]","2009-11-07"
"nucl-ex/0110004","Ananya Ruangma","A. Ruangma, R. Laforest, E. Martin, E. Ramakrishnan, D. J. Rowland, M.
  Veselsky, E. M. Winchester, S.J. Yennello, L. Beaulieu, W.-c. Hsi, K.
  Kwiatkowski, T. Lefort, V.E. Viola, A. Botvina, R. G. Korteling, L.
  Pienkowski, H. Breuer, S. Gushue, L. P. Remsberg","Caloric curve of 8 GeV/c negative pion and antiproton + Au reactions","34 pages, 11 figures","Phys.Rev.C66:044603,2002","10.1103/PhysRevC.66.044603",,"nucl-ex",,"  The relationship between nuclear temperature and excitation energy of hot
nuclei formed by 8 GeV/c negative pion and antiproton beams incident on 197Au
has been investigated with the ISiS 4-pidetector array at the BNL AGS
accelerator. The double-isotope-ratio technique was used to calculate the
temperature of the hot system. The two thermometers used (p/d-3He/4He) and
(d/t-3He/4He) are in agreement below E*/A ~ 7 MeV when corrected for secondary
decay. Comparison of these caloric curves to those from other experiments shows
some differences that may be attributable to instrumentation and analysis
procedures. The caloric curves from this experiment are also compared with the
predictions from the SMM multifragmentation model.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:08:59 GMT""}]","2019-08-17"
"nucl-th/0110010","A. Marinov","S. Liran, A. Marinov and N. Zeldes","Applications of semiempirical shell model masses based on proton magic
  number Z = 126 to superheavy nuclei","10 pages, 2 tables, 7 figures. Submitted to Phys. Rev. C","Phys.Rev.C66:024303,2002","10.1103/PhysRevC.66.024303",,"nucl-th",,"  A recently published highly extrapolatable semiempirical shell model mass
equation is shown to describe rather well the energies of several seemingly
well identified alpha-decay chains with known end product nuclei observed in
superheavy elements research. The equation is also applied to the
interpretation problem of some recent hot fusion-evaporation experiments with
unknown end products and several conceivable reaction channels. Some plausible
interpretations are indicated.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:01:06 GMT""}]","2009-04-13"
"nucl-th/0110011","J. E. Horvath","S. Stoica (NIP,Bucharest) and J.E. Horvath (IAG-USP, Sao Paulo)","Nuclear Effects on Bremsstrahlung Neutrino Rates of Astrophysical
  Interest","11 pages, no figures, LaTex file. submitted to PRC","Phys.Rev. C65 (2002) 028801","10.1103/PhysRevC.65.028801","IAG/344-00","nucl-th",,"  We calculate in this work the rates for the neutrino pair production by
nucleon-nucleon bremsstrahlung taking into account the full contribution from a
nuclear one-pion-exchange potential. It is shown that if the temperatures are
low enough ($T \leq 20 MeV$), the integration over the nuclear part can be done
for the general case, ranging from the completely degenerate (D) to the
non-degenerate (ND) regime. We find that the inclusion of the full nuclear
contribution enhances the neutrino pair production by $nn$ and $pp$
bremsstrahlung by a factor of about two in both the D and ND limits when
compared with previous calculations. This result may be relevant for the
physical conditions of interest in the semitransparent regions near the
neutrinosphere in type II supernovae, cooling of neutron stars and other
astrophysical situations.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 22:07:51 GMT""}]","2009-11-07"
"nucl-th/0110012","Akihito Haga","Akihiro Haga, Yataro Horikawa, and Yasutoshi Tanaka","Nuclear polarization in hydrogenlike $^{208}_{~82}$Pb$^{81+}$","26 pages, 5 figures",,"10.1103/PhysRevA.65.052509",,"nucl-th",,"  We calculate nuclear-polarization energy shifts for hydrogenlike
$^{208}_{~82}$Pb$^{81+}$. A retarded transverse part as well as the Coulomb
part is taken into account as the electromagnetic interaction between an
electron and the nucleus. With a finite charge distribution for the nuclear
ground state and the random-phase approximation to describe the nuclear
excitations, we obtain nuclear polarization energy of the $1s_{1/2}$ state as
--38.2 (--37.0) meV in the Feynman (Coulomb) gauge. For the $2s_{1/2}$,
$2p_{1/2}$ and $2p_{3/2}$ states, they are --6.7 (--6.4), --0.2 (--0.2) and
+0.0 (+0.0) meV, respectively. The seagull term in the two-photon exchange
diagrams is shown to be quite important to obtain the gauge invariance of the
nuclear polarization energies.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 02:31:01 GMT""}]","2009-11-07"
"nucl-th/0110013","Dr. Hans-Werner Barz","H.W. Barz, M. Zetenyi, Gy. Wolf, B. Kampfer","Subthreshold phi-meson production in heavy-ion collisions","17 pages(LaTeX), two new figures added","Nucl.Phys.A705:223-235,2002","10.1016/S0375-9474(02)00593-6",,"nucl-th",,"  Within a transport code of BUU type the production of phi-mesons in the
reactions Ni+Ni at 1.93 AGeV and Ru+Ru at 1.69 AGeV is studied. New elementary
reaction channels rho+N(Delta) to phi+N and pi+N(1520) to phi+N are included.
In spite of a substantial increase of the \phi multiplicities by these channels
the results stay below the tentative numbers extracted from experimental data.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 05:39:42 GMT""},{""version"":""v2"",""created"":""Wed, 10 Oct 2001 13:19:52 GMT""},{""version"":""v3"",""created"":""Tue, 16 Oct 2001 09:58:49 GMT""},{""version"":""v4"",""created"":""Fri, 4 Jan 2002 07:51:29 GMT""}]","2008-11-26"
"nucl-th/0110014","Gerd Roepke","A. Tohsaki, H. Horiuchi, P. Schuck, and G. R\""opke","Alpha cluster condensation in 12C and 16O","4 pages, 2 tables, 2 figures","Phys.Rev.Lett.87:192501,2001","10.1103/PhysRevLett.87.192501",,"nucl-th",,"  A new $\alpha$-cluster wave function is proposed which is of the
$\alpha$-particle condensate type. Applications to $^{12}$C and $^{16}$O show
that states of low density close to the 3 resp. 4 $\alpha$-particle threshold
in both nuclei are possibly of this kind. It is conjectured that all
self-conjugate 4$n$ nuclei may show similar features.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 07:11:54 GMT""}]","2011-05-05"
"nucl-th/0110015","Franz Gross","Franz Gross and R. Gilman","The deuteron: a mini-review","14 pages, 11 figures, Invited talk given to the Conference on Mesons
  & Light Nuclei, held in Prague, Czech Republic, July 2- 6, 2001","AIP Conf.Proc.603:55-68,2001","10.1063/1.1436589","JLAB-PHY-01-23, WM-01-112","nucl-th",,"  We review some recent results for elastic electron deuteron scattering
(deuteron form factors) and photodisintegration of the deuteron, with emphasis
on the recent high energy data from Jefferson Laboratory (JLab).
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:52:21 GMT""}]","2014-11-18"
"nucl-th/0110016","Qun Wang","Qun Wang, Dirk H. Rischke","How the quark self-energy affects the color-superconducting gap","Revtex, 8 pages, no figure","Phys.Rev. D65 (2002) 054005","10.1103/PhysRevD.65.054005",,"nucl-th hep-ph",,"  We consider color superconductivity with two flavors of massless quarks which
form Cooper pairs with total spin zero. We solve the gap equation for the
color-superconducting gap parameter to subleading order in the QCD coupling
constant $g$ at zero temperature. At this order in $g$, there is also a
previously neglected contribution from the real part of the quark self-energy
to the gap equation. Including this contribution leads to a reduction of the
color-superconducting gap parameter $\f_0$ by a factor $b_0'=\exp \big[ -(\p
^2+4)/8 \big]\simeq 0.177$. On the other hand, the BCS relation $T_c\simeq
0.57\f_0$ between $\f_0$ and the transition temperature $T_c$ is shown to
remain valid after taking into account corrections from the quark self-energy.
The resulting value for $T_c$ confirms a result obtained previously with a
different method.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:13:02 GMT""}]","2009-11-07"
"physics/0110015","Clive Field","J.S.T.Ng, P.Chen, H.Baldis, P.Bolton, D.Cline, W.Craddock, C.Crawford,
  F.J.Decker, C.Field, Y.Fukui, V.Kumar, R.Iverson, F.King, R.E.Kirby,
  K.Nakajima, R.Noble, A.Ogata, P.Raimondi, D.Walz, A.W.Weidemann","Observation of Plasma Focusing of a 28.5 GeV Positron Beam",,"Phys.Rev.Lett. 87 (2001) 244801","10.1103/PhysRevLett.87.244801","SLAC-PUB-8975","physics.acc-ph",,"  The observation of plasma focusing of a 28.5 GeV positron beam is reported.
The plasma was formed by ionizing a nitrogen jet only 3 mm thick. Simultaneous
focusing in both transverse dimensions was observed with effective focusing
strengths of order Tesla per micron. The minimum area of the beam spot was
reduced by a factor of 2.0 +/- 0.3 by the plasma. The longitudinal beam
envelope was measured and compared with numerical calculations.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:59:16 GMT""}]","2009-11-07"
"physics/0110016","David D. Busath","Paul S. Crozier, Douglas Henderson, Richard L. Rowley, and David D.
  Busath","Model Channel Ion Currents in NaCl - SPC/E Solution with Applied-Field
  Molecular Dynamics","Accepted for publication in Biophysical Journal",,"10.1016/S0006-3495(01)75946-2",,"physics.bio-ph physics.chem-ph",,"  Using periodic boundary conditions and a constant applied field, we have
simulated current flow through an 8.125 Angstrom internal diameter, rigid,
atomistic channel with polar walls in a rigid membrane using explicit ions and
SPC/E water. Channel and bath currents were computed from ten 10-ns
trajectories for each of 10 different conditions of concentration and applied
voltage. An electric field was applied uniformly throughout the system to all
mobile atoms. On average, the resultant net electric field falls primarily
across the membrane channel, as expected for two conductive baths separated by
a membrane capacitance. The channel is rarely occupied by more than one ion.
Current-voltage relations are concentration-dependent and superlinear at high
concentrations.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 19:42:47 GMT""}]","2009-11-07"
"physics/0110017","Valery Lisin","V. N. Lisin","Vector Area Theorem mapping in crystals and polarization stability of
  SIT-solitons","3 pages, 3 figures; v2: minor corrected labels in Fig. 3 and its
  cupture","Pis'ma v ZhETF, v. 74, pp. 314-317 (2001)","10.1134/1.1417167",,"physics.optics",,"  The stability of polarization, areas, and number of self-induced transparency
(SIT)-solitons at the output from the LaF_3:Pr^{3+} crystal is theoretically
studied versus the polarization direction and the area of the input linearly
polarized laser pulse. For this purpose the Vector Area Theorem is rederived
and two-dimensional Vector Area Theorem map is obtained. The map is governed by
the crystal symmetry and takes into account directions of the dipole matrix
element vectors of the different site subgroups of optically excited ions. The
Vector Area Theorem mapping of the time evolution of the laser pulse allows one
to highlight soliton polarization properties.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 12:18:06 GMT""},{""version"":""v2"",""created"":""Mon, 8 Oct 2001 10:39:40 GMT""}]","2009-11-07"
"physics/0110018","Vladislav Capek","V. Capek and J. Bok","Stationary flows in quantum dissipative closed circuits as a challenge
  to thermodynamics","LaTeX, 32 pages, 1 figure; updated version with amended Appendix",,,,"physics.plasm-ph physics.gen-ph",,"  An experimentally inspired model is constructed and rigorously solved from
the Hamiltonian level where a dc circular spontaneous flow exists in absence of
a magnetic field, irrespective of presence of dissipation causing otherwise
proper relaxation. The flow causes a spontaneous unidirectional transfer of
heat from one bath to another one, even against temperature step. This is what
is explicitly forbidden by the Clausius form of the Second law of
thermodynamics. The unidirectionality of the flow is caused by that of
spontaneous processes known to bear this property since their introduction by
Einstein. The model slightly improves the previous one (\v{C}\'{a}pek & Sheehan
2002), describes a realistic plasma system for which experimental results
violating the second law were announced, and the result obtained fully supports
the experimental conclusions (Sheehan 1995). Analytical proof of the violation
is supported by numerical results. All mathematical details are exposed, two
fully independent types of mathematical arguments behind starting equations are
invoked, and no approximations that could be made responsible for the striking
conclusions are used. It shows how the physics beyond the Second law is still
little understood.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 15:08:45 GMT""},{""version"":""v2"",""created"":""Wed, 24 Apr 2002 13:20:07 GMT""}]","2007-05-23"
"quant-ph/0110027","Qiao Bi","Bi Qiao, H. E. Ruda and M. S. Zhan","Two Qubit Quantum Computing in a Projected Subspace","24 pages. accepted by Phys. Rev. A",,"10.1103/PhysRevA.65.042325",,"quant-ph",,"  A formulation for performing quantum computing in a projected subspace is
presented, based on the subdynamical kinetic equation (SKE) for an open quantum
system. The eigenvectors of the kinetic equation are shown to remain invariant
before and after interaction with the environment. However, the eigenvalues in
the projected subspace exhibit a type of phase shift to the evolutionary
states. This phase shift does not destroy the decoherence-free (DF) property of
the subspace because the associated fidelity is 1. This permits a universal
formalism to be presented - the eigenprojectors of the free part of the
Hamiltonian for the system and bath may be used to construct a DF projected
subspace based on the SKE. To eliminate possible phase or unitary errors
induced by the change in the eigenvalues, a cancellation technique is proposed,
using the adjustment of the coupling time, and applied to a two qubit computing
system. A general criteria for constructing a DF projected subspace from the
SKE is discussed. Finally, a proposal for using triangulation to realize a
decoherence-free subsystem based on SKE is presented. The concrete formulation
for a two-qubit model is given exactly. Our approach is novel and general, and
appears applicable to any type of decoherence. Key Words: Quantum Computing,
Decoherence, Subspace, Open System PACS number: 03.67.Lx,33.25.+k,.76.60.-k
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:22:51 GMT""},{""version"":""v2"",""created"":""Tue, 5 Feb 2002 16:10:33 GMT""}]","2009-11-07"
"quant-ph/0110028","David Meyer","David A. Meyer (1 and 2), Heather Blumer (2) ((1) University of
  California/San Diego, (2) Institute for Physical Sciences)","Parrondo games as lattice gas automata","12 pages, plain TeX, 10 PostScript figures included with epsf.tex
  (ignore the under/overfull \vbox error messages); for related work see
  http://math.ucsd.edu/~dmeyer/research.html",,,,"quant-ph nlin.CG",,"  Parrondo games are coin flipping games with the surprising property that
alternating plays of two losing games can produce a winning game. We show that
this phenomenon can be modelled by probabilistic lattice gas automata.
Furthermore, motivated by the recent introduction of quantum coin flipping
games, we show that quantum lattice gas automata provide an interesting
definition for quantum Parrondo games.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 19:29:53 GMT""}]","2007-05-23"
"quant-ph/0110029","Lorenza Viola","Raymond Laflamme, David G. Cory, Camille Negrevergne, Lorenza Viola","NMR Quantum Information Processing and Entanglement","11 pages, 1 eps figure",,,,"quant-ph",,"  In this essay we discuss the issue of quantum information and recent nuclear
magnetic resonance (NMR) experiments. We explain why these experiments should
be regarded as quantum information processing (QIP) despite the fact that, in
present liquid state NMR experiments, no entanglement is found. We comment on
how these experiments contribute to the future of QIP and include a brief
discussion on the origin of the power of quantum computers.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 01:10:11 GMT""}]","2007-05-23"
"quant-ph/0110030","Sonia G. Schirmer","A. I. Solomon and S. G. Schirmer (The Open University)","Limitations on quantum control","6 pages","Int. J. Mod. Phys. B 16, 2107-2112 (2002)","10.1142/S0217979202011858","2001IJMPB","quant-ph",,"  In this note we give an introduction to the topic of quantum control,
explaining what its objectives are, and describing some of its limitations.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 04:32:51 GMT""}]","2009-11-07"
"quant-ph/0110031","Masahiro Takeoka","Masahiro Takeoka, Masashi Ban and Masahide Sasaki","Quantum channel of continuous variable teleportation and nonclassicality
  of quantum states","16 pages, 4 figures",,"10.1088/1464-4266/4/2/306",,"quant-ph",,"  Noisy teleportation of nonclassical quantum states via a two-mode
squeezed-vacuum state is studied with the completely positive map and the
Glauber-Sudarshan $P$-function. Using the nonclassical depth as a measure of
transmission performance, we compare the teleportation scheme with the direct
transmission through a noisy channel. The noise model is based on the coupling
to the vacuum field. It is shown that the teleportation channel has better
transmission performance than the direct transmission channel in a certain
region. The bounds for such region and for obtaining the nonvanished
nonclassicality of the teleported quantum states are also discussed. Our model
shows a reasonable agreement with the observed teleportation fidelity in the
experiment by Furusawa et al. [Science {\bf 282}, 706 (1998)]. We finally
mention the required conditions for transmitting nonclassical features in real
experiments.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 08:43:46 GMT""}]","2009-11-07"
"quant-ph/0110032","Arup Banerjee","Arup Banerjee","Comment on relationship between atomic squeezed and entangled states","5 pages, no figure",,,,"quant-ph",,"  The ability of parameter recently proposed by Sorensen et al. (Nature, 409,
63 (2001)) to characterize entanglement or inseparability is investigated for a
system of two two-level atoms interacting with a single mode of radiation
field. For comparison we employ the necessary and sufficient criterion of Peres
and Horodecki for inseparability of bipartite states. We show that for diagonal
atomic density matrix the parameter of Sorensen et al. fails to show entangled
nature of collective atomic state whereas same state is inseparable in
accordance with Peres-Horodecki criterion.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 11:38:18 GMT""}]","2007-05-23"
"quant-ph/0110033","Juan Pablo Paz","Pablo Bianucci, Juan Pablo Paz and Marcos Saraceno","Decoherence for classically chaotic quantum maps","16 pages, 11 figures",,"10.1103/PhysRevE.65.046226",,"quant-ph",,"  We study the behavior of an open quantum system, with an $N$--dimensional
space of states, whose density matrix evolves according to a non--unitary map
defined in two steps: A unitary step, where the system evolves with an
evolution operator obtained by quantizing a classically chaotic map (baker's
and Harper's map are the two examples we consider). A non--unitary step where
the evolution operator for the density matrix mimics the effect of diffusion in
the semiclassical (large $N$) limit. The process of decoherence and the
transition from quantum to classical behavior are analyzed in detail by means
of numerical and analitic tools. The existence of a regime where the entropy
grows with a rate which is independent of the strength of the diffusion
coefficient is demonstrated. The nature of the processes that determine the
production of entropy is analyzed.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 13:08:46 GMT""}]","2009-11-07"
"quant-ph/0110034","Robert J. C. Spreeuw","N. Bhattacharya, H. B. van Linden van den Heuvell, and R. J. C.
  Spreeuw","Implementation of quantum search algorithm using classical Fourier
  optics","4 pages, 3 figures; minor revisions plus extra reference","Phys. Rev. Lett. 88, 137901 (2002)","10.1103/PhysRevLett.88.137901",,"quant-ph",,"  We report on an experiment on Grover's quantum search algorithm showing that
{\em classical waves} can search a $N$-item database as efficiently as quantum
mechanics can. The transverse beam profile of a short laser pulse is processed
iteratively as the pulse bounces back and forth between two mirrors. We
directly observe the sought item being found in $\sim\sqrt{N}$ iterations, in
the form of a growing intensity peak on this profile. Although the lack of
quantum entanglement limits the {\em size} of our database, our results show
that entanglement is neither necessary for the algorithm itself, nor for its
efficiency.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:10:45 GMT""},{""version"":""v2"",""created"":""Fri, 7 Dec 2001 14:18:49 GMT""},{""version"":""v3"",""created"":""Fri, 1 Feb 2002 11:21:09 GMT""}]","2016-09-08"
"quant-ph/0110035","Nuno Dias","Nuno Costa Dias, Joao Nuno Prata","Formal solutions of stargenvalue equations","29 pages. Revised version, to appear in Annals of Physics","Annals of Physics 311/1 (2004) 120-151","10.1016/j.aop.2003.11.004",,"quant-ph",,"  The formal solution of a general stargenvalue equation is presented, its
properties studied and a geometrical interpretation given in terms of
star-hypersurfaces in quantum phase space. Our approach deals with discrete and
continuous spectra in a unified fashion and includes a systematic treatment of
non-diagonal stargenfunctions. The formalism is used to obtain a complete
formal solution of Wigner quantum mechanics in the Heisenberg picture and to
write a general formula for the stargenfunctions of Hamiltonians quadratic in
the phase space variables in arbitrary dimension. A variety of systems is then
used to illustrate the former results.
","[{""version"":""v1"",""created"":""Fri, 5 Oct 2001 14:14:45 GMT""},{""version"":""v2"",""created"":""Sun, 23 Nov 2003 02:08:05 GMT""}]","2009-11-07"
