"astro-ph/0111551","Hector DE Vega","H. J. de Vega, J. A. Siebert","Statistical Mechanics of the Self-gravitating gas with two or more kinds
  of Particles","LaTex, 29 pages, 11 .ps figures, expanded version to appear in Phys.
  Rev. E","Phys.Rev. E66 (2002) 016112","10.1103/PhysRevE.66.016112","LPTHE/01-72","astro-ph cond-mat hep-th",,"  We study the statistical mechanics of the self-gravitating gas at thermal
equilibrium with two kinds of particles. We start from the partition function
in the canonical ensemble which we express as a functional integral over the
densities of the two kinds of particles for a large number of particles. The
system is shown to possess an infinite volume limit when (N_1,N_2,V)->infty,
keeping N_1/V^{1/3} and N_2/V^{1/3} fixed. The saddle point approximation
becomes here exact for (N_1,N_2,V)->infty.It provides a nonlinear differential
equation on the particle densities. For the spherically symmetric case, we
compute the densities as functions of two dimensionless physical parameters:
eta_1=G m_1^2 N_1/[V^{1/3} T] and eta_2=G m_2^2 N_2/[V^{1/3} T] (where G is
Newton's constant, m_1 and m_2 the masses of the two kinds of particles and T
the temperature). According to the values of eta_1 and eta_2 the system can be
either in a gaseous phase or in a highly condensed phase.The gaseous phase is
stable for eta_1 and eta_2 between the origin and their collapse values. The
gas is inhomogeneous and the mass M(R) inside a sphere of radius R scales with
R as M(R) propto R^d suggesting a fractal structure. The value of d depends in
general on eta_1 and eta_2 except on the critical line for the canonical ensem-
ble where it takes the universal value d simeq 1.6 for all values of N_1/N_2.
The equation of state is computed.It is found to be locally a perfect gas
equation of state. Thermodynamic functions are computed as functions of eta_1
and eta_2. They exhibit a square root Riemann sheet with the branch points on
the critical canonical line. This treatment is further generalized to the
self-gravitating gas with n-types of particles.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 17:06:36 GMT""},{""version"":""v2"",""created"":""Wed, 26 Jun 2002 15:35:03 GMT""}]","2009-11-07"
"astro-ph/0111569","Axel Brandenburg","A. Brandenburg and W. Dobler","Hydromagnetic turbulence in computer simulations","6 pages, 4 figures (Proceedings of CCP2001 in Aachen)","Comput.Phys.Commun. 147 (2002) 471-475","10.1016/S0010-4655(02)00334-X","NORDITA-2001-87 AP","astro-ph",,"  In ordinary turbulence research it has been a long standing tradition to
solve the equations in spectral space giving the best possible accuracy. This
is indeed a natural choice for incompressible problems with periodic
boundaries, but it is no longer optimal in many astrophysical circumstances. It
is argued that lower order spatial derivatives schemes are unacceptable in view
of their low overall accuracy, even when mass, momentum, and energy are
conserved to machine accuracy. High order finite difference schemes are
therefore found to be quite efficient and physically appropriate. They are also
easily and efficiently implemented on massively parallel computers. High order
schemes also yield sufficient overall accuracy. Our code uses centered finite
differences which make the adaptation to other problems simple. Since the code
is not written in conservative form, conservation of mass, energy and momentum
can be used to monitor to quality of the solution. A third order Runge-Kutta
scheme with 2N-storage is used for calculating the time advance.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:47:38 GMT""}]","2009-11-07"
"astro-ph/0111570","Jeremy S. Heyl","Jeremy S. Heyl and Abraham Loeb (Harvard University)","Vacuum Decay Constraints on a Cosmological Scalar Field","3 pages, 1 figure","Phys.Rev.Lett. 88 (2002) 121302","10.1103/PhysRevLett.88.121302",,"astro-ph gr-qc hep-ph hep-th",,"  If the potential of a scalar field, Phi, which currently provides the ``dark
energy'' of the universe, has a negative minimum -M_0^4, then
quantum-mechanical fluctuations could nucleate a bubble of Phi at a negative
value of the potential. The bubble would expand at the speed of light. Given
that no such bubble enveloped us in the past, we find that any minimum in
V(Phi) must be separated from the current Phi value by more than min{1.5M_0,
0.21M_Pl}, where M_Pl is the Planck mass. We also show that vacuum decay
renders a cyclic or ekpyrotic universe with M_0^4 > 10^{-10}M_Pl^4, untenable.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 20:53:11 GMT""}]","2009-11-07"
"astro-ph/0111571","Vahid Rezania","Sharon M. Morsink (Alberta) and Vahid Rezania (Alberta, IASBS)","Normal Modes of Rotating Magnetic Stars","21 pages, 2 figures, revised version to appear in v574 n2 pt1 ApJ
  August 1, 2002","ApJ, 574, (2002), 908","10.1086/341190","29/11/01","astro-ph",,"  We investigate the effect of a magnetic field on the global oscillation modes
of a rotating fluid star in the magnetohydrodynamic approximation. We present
general equations for the modification of any type of fluid mode due to a
general magnetic field which is not aligned with the star's spin axis. In the
case of any internal dipole magnetic field we derive the equations for the
frequency corrections to the r-modes. We solve for the frequency correction
explicitly for the case when the internal dipole field is force-free, including
the uniform density case. In the weak-field limit, the spatial form of the
r-mode velocity perturbation is unchanged, but the magnitude of the frequency
in the rotating frame increases.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:11:07 GMT""},{""version"":""v2"",""created"":""Tue, 30 Apr 2002 13:07:45 GMT""}]","2009-11-07"
"astro-ph/0111572","Solange V. Ramirez","Solange V. Ramirez (Caltech) and Judith G. Cohen (Caltech)","Abundances in Stars from the Red Giant Branch Tip to Near the Main
  Sequence Turn Off in M71: III. Abundance Ratios","AJ, in press (June 2002), 18 figures",,"10.1086/340354",,"astro-ph",,"  We present abundance ratios for 23 elements with respect to Fe in a sample of
stars with a wide range in luminosity, from luminous giants to stars near the
turnoff, in the globular cluster M71. The analyzed spectra, obtained with HIRES
at the Keck Observatory, are of high dispersion (R=35,000). We find that the
neutron capture, the iron peak and the alpha-element abundance ratios show no
trend with Teff, and low scatter around the mean between the top of the RGB and
near the main sequence turnoff. The alpha-elements Mg, Ca, Si and Ti are
overabundant relative to Fe. The anti-correlation between O and Na abundances,
observed in other metal poor globular clusters, is detected in our sample and
extends to the main sequence. A statistically significant correlation between
Al and Na abundances is observed among the M71 stars in our sample, extending
to Mv = +1.8, fainter than the luminosity of the RGB bump in M5. Lithium is
varying, as expected, and Zr may be varying from star to star as well. M71
appears to have abundance ratios very similar to M5 whose bright giants were
studied by Ivans et al. (2001), but seems to have a smaller amplitude of
star-to-star variations at a given luminosity, as might be expected from its
higher metallicity. The results of our abundance analysis of 25 stars in M71
provide sufficient evidence of abundance variations at unexpectedly low
luminosities to rule out the mixing scenario. Either alone or, even more
powerfully, combined with other recent studies of C and N abundances in M71
stars, the existence of such abundance variations cannot be reproduced within
the context of our current understanding of stellar evolution.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 22:35:40 GMT""},{""version"":""v2"",""created"":""Fri, 15 Feb 2002 18:04:56 GMT""},{""version"":""v3"",""created"":""Thu, 21 Mar 2002 00:22:38 GMT""}]","2009-11-07"
"astro-ph/0111576","Sarah Church","S. Staggs, S. Church","Experimental CMB Status and Prospects: A Report from Snowmass 2001","15 pages, 12 figures. Figure 7 was submitted separately as the file
  e6_1_staggs_1023_fig8.jpg","eConf C010630 (2001) E609",,,"astro-ph",,"  In recent years the promise of experimental study of the cosmic microwave
background (CMB) has been demonstrated. Herein a brief summary of the field is
followed by an indication of future directions. The prospects for further
revelations from the details of the CMB are excellent. The future work is
well-suited to the interests of high energy physics experimentalists: the
projects seek to understand the fundamental nature of the universe, require
subtle experimental techniques to keep systematics in control, produce large,
rich data sets, and must be implemented by multi-institutional collaborations.
","[{""version"":""v1"",""created"":""Thu, 29 Nov 2001 23:48:13 GMT""}]","2007-05-23"
"astro-ph/0111577","Jules P. Halpern","J.P. Halpern, E.V. Gotthelf, F. Camilo, B. Collins, D.J. Helfand","The New Gamma-ray Pulsar PSR J2229+6114, its Pulsar Wind Nebula, and
  Comparison with the Vela Pulsar","6 pages, 4 figures, to appear in ""Neutron Stars in Supernova
  Remnants"" (ASP Conference Proceedings), eds P.O. Slane and B.M. Gaensler",,,,"astro-ph",,"  With a period of 51.6 ms and spin-down power 2.2x10^{37} erg s^{-1}, PSR
J2229+6114 is a compelling identification for the EGRET source 3EG J2227+6122
in which error circle it resides. Striking features of the Chandra X-ray image
are an incomplete elliptical arc and a possible jet, similar to the structures
that dominate the appearance of the Vela PWN. Approximately 70% of the 2-10 keV
X-ray emission comes from a centrally peaked, diffuse nebula of radius 100""
with a power-law spectrum of photon index 1.45 +/- 0.19. The pulsar itself has
a marginally harder spectrum with photon index 0.99 +/- 0.27. For an assumed
distance of 3 kpc the ratio of X-ray luminosity to spin-down power of PSR
J2229+6114 is only 8 x 10^{-5}. We discuss a model in which such inefficient
X-ray emission is the signature of a highly magnetized pulsar wind that
prevents an internal MHD shock, at the location of the X-ray arc, from strongly
compressing the flow. The incomplete X-ray arc is consistent with beaming from
a relativistic equatorial outflow, while a surrounding radio shell is probably
the forward shock in the surrounding ISM. An MeV source at this location was
previously detected by the COMPTEL experiment on CGRO. This, plus the flat
X-ray spectrum in the 2-10 keV band, suggests that PSR J2229+6114 is one of the
brightest pulsars at 1 MeV, even while it is inconspicuous at radio through
X-ray wavelengths, and as steep as the Crab above 100 MeV. The apparent variety
of broad-band spectra displayed by high-energy pulsars bolsters the theory that
rotation-powered pulsars dominate the unidentified Galactic EGRET source
population.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 00:14:54 GMT""}]","2007-05-23"
"astro-ph/0111578","Samar Safi-Harb","S. Safi-Harb, I. M. Harrus, R. Petre, G. G. Pavlov, A. B. Koptsevitch,
  and D. Sanwal","The Intriguing Plerionic Supernova Remnant: G21.5-0.9","4 pages including 2 color figures and a table, newpasp.sty. To Appear
  in `Neutron Stars in Supernova Remnants' (ASP Conference proceedings), eds.
  P. O. Slane and B. M. Gaensler",,,,"astro-ph",,"  G21.5-0.9 is a plerionic supernova remnant (SNR) whose properties hint at the
presence of a pulsar -- yet no pulsations have been found at any wavelength.
Early observations with Chandra led to the discovery of an extended component,
making the SNR at least twice as big as originally thought. Our analysis
indicates that this low-surface brightness extended component is non-thermal.
We perform a spatially resolved spectroscopy using a 72 ksec exposure with
ACIS-S, and find no evidence of line emission. The 5-arcminute diameter remnant
is well fitted with a power law with a photon index steepening from 1.5
(central core) to 2.7 (extended component) and a column density N_H=2.2 10^22
cm^-2. Using a 76 ksec exposure with the HRC, we derive an upper limit of 16%
on the pulsed fraction from a putative pulsar. We also infer the parameters of
the `hidden pulsar' in G21.5-0.9 in comparison with the Crab and 3C 58 pulsars.
This remnant remains unique and intriguing since it is, to date, the only
candidate whose size is bigger in X-rays than in the radio.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 01:28:28 GMT""}]","2007-05-23"
"astro-ph/0111579","Manuel Perucho Pla","Manuel Perucho and Jose Maria Marti","Physical parameters in the hot spots and jets of Compact Symmetric
  Objects","11 pages, 2 figures. Accepted for publication in Astrophysical
  Journal",,"10.1086/338882",,"astro-ph",,"  We present a model to determine the physical parameters of jets and hot spots
of a sample of CSOs under very basic assumptions like synchrotron emission and
minimum energy conditions. Based on this model we propose a simple evolutionary
scenario for these sources assuming that they evolve in ram pressure
equilibrium with the external medium and constant jet power. The parameters of
our model are constrained from fits of observational data (radio luminosity,
hot spot radius and hot spot advance speed) versus projected linear size. From
these plots we conclude that CSOs evolve self-similarly and that their radio
luminosity increases with linear size along the first kiloparsec. Assuming that
the jets feeding CSOs are relativistic from both kinematical and
thermodynamical points of view, we use the values of the pressure and particle
number density within the hot spots to estimate the fluxes of momentum
(thrust), energy, and particles of these relativistic jets. The mean jet power
obtained in this way is within an order of magnitude that inferred for FRII
sources, which is consistent with CSOs being the possible precursors of large
doubles. The inferred flux of particles corresponds to, for a barionic jet,
about a 10% of the mass accreted by a black hole of $10^8 {\rm M_{\odot}}$ at
the Eddington limit, pointing towards a very efficient conversion of accretion
flow into ejection, or to a leptonic composition of jets.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 08:27:45 GMT""}]","2009-11-07"
"astro-ph/0111580","Rino Bandiera","Rino Bandiera (Osservatorio Astrofisico di Arcetri)","Implications of the synchrotron emission in plerionic nebulae: a second
  component in the Crab Nebula","4 pages, Latex, 2 figures, Encapsulated PostScript ""To appear in
  ""Neutron Stars in Supernova Remnants"" (ASP Conference Proceedings), eds P. O.
  Slane and B. M. Gaensler""",,,,"astro-ph",,"  High-quality spatially resolved spectra of synchrotron emission from plerions
represent a powerful diagnostic tool for the physical conditions in these
objects. A fundamental question is to what extent spatial variations of the
synchrotron spectrum originate from the evolution of a single population of
injected electrons, and when instead they imply the coexistence of different
populations of electrons. Here I shall discuss observations of the Crab Nebula
at millimetric wavelengths which, compared with a radio map, show evidence for
the emergence of a second synchrotron component, characterized by a flatter
spectrum and undetected in the radio range. This component is confined to the
inner part of the nebula, and cannot originate from synchrotron-dominated
evolution, also because in the Crab Nebula the electrons emitting at millimeter
wavelengths evolve almost adiabatically. Then its discovery indicates that
there are more populations of injected particles. Finally, the detection of a
low-frequency break in the spectra of synchrotron filaments can be interpreted
as an effect of higher magnetic fields in filaments.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 09:03:52 GMT""}]","2007-05-23"
"astro-ph/0111581","Sepehr Arbabi-Bidgoli","S. Arbabi-Bidgoli, V. Mueller (Astrophysikalisches Institut Potsdam)","Void Scaling and Void Profiles in CDM Models","12 pages, 9 eps figures, submitted to MNRAS","Mon.Not.Roy.Astron.Soc. 332 (2002) 205","10.1046/j.1365-8711.2002.05296.x",,"astro-ph",,"  An analysis of voids using cosmological N-body simulations of cold dark
matter models is presented. It employs a robust statistics of voids, that was
recently applied to discriminate between data from the Las Campanas Redshift
Survey and different cosmological models. Here we extend the analysis to 3D and
show that typical void sizes D in the simulated galaxy samples obey a linear
scaling relation with the mean galaxy separation lambda: D=D_0+nu*lambda. It
has the same slope nu as in 2D, but with lower absolute void sizes. The scaling
relation is able to discriminate between different cosmologies. For the best
standard LCDM model, the slope of the scaling relation for voids in the dark
matter halos is too steep as compared to the LCRS, with too small void sizes
for well sampled data sets. The scaling relation of voids for dark matter halos
with increasing mass thresholds is even steeper than that for samples of
galaxy-mass halos where we sparse sample the data. This shows the stronger
clustering of more massive halos. Further, we find a correlation of the void
size to its central and environmental average density. While there is little
sign of an evolution in samples of small DM halos with v_{circ} ~ 90 km/s,
voids in halos with circular velocity over 200 km/s are larger at redshift z =
3 due to the smaller halo number density. The flow of dark matter from the
underdense to overdense regions in an early established network of large scale
structure is also imprinted in the evolution of the density profiles with a
relative density decrease in void centers by 0.18 per redshift unit between z=3
and z=0.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:05:47 GMT""}]","2009-11-07"
"astro-ph/0111582","Nils Andersson","N. Andersson, D.I. Jones and K.D. Kokkotas","Strange stars as persistent sources of gravitational waves","MNRAS format, 5 eps figures","Mon.Not.Roy.Astron.Soc.337:1224,2002","10.1046/j.1365-8711.2002.05837.x",,"astro-ph gr-qc",,"  We investigate the relevance of the gravitational-wave driven r-mode
instability for strange stars. We find that the unstable r-modes affect strange
stars in a way that is quite distinct from the neutron star case. For accreting
strange stars we show that the onset of r-mode instability does not lead to the
thermo-gravitational runaway that is likely to occur in neutron stars. Instead,
the strange star evolves towards a quasi-equilibrium state on a timescale of
about a year. This mechanism could thus explain the clustering of
spin-frequencies inferred from kHz QPO data in Low-mass X-ray binaries. For
young strange stars we show that the r-mode driven spin-evolution is also
distinct from the neutron star case. In a young strange star the r-mode
undergoes short cycles of instability during the first few months. This is
followed by a quasi-adiabatic phase where the r-mode remains at a small,
roughly constant, amplitude for thousands of years. Another distinguishing
feature from the neutron star case is that the r-modes in a strange star never
grow to large amplitudes. Our results suggest that the r-modes in strange star
emit a persistent gravitational-wave signal that should be detectable with
large-scale interferometers given an observation time of a few months. If
detected, these signals would provide unique evidence for the existence of
strange stars, which would put useful constraints on the parameters of QCD.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:07:13 GMT""}]","2010-11-19"
"astro-ph/0111583","Patrick Woudt","Patrick A. Woudt (Univ. of Cape Town) and Brian Warner (Univ. of Cape
  Town)","A 2.09-h Photometric Periodicity in GW Librae","7 pages, 3 figures (requires kluwer.cls). Accepted for publication in
  Astrophysics and Space Science","Astrophys.Space Sci. 282 (2002) 433-438","10.1023/A:1020809407912",,"astro-ph",,"  We have found a 2.09 h modulation in brightness of the dwarf nova GW Lib.
This bears no special relationship to the 1.28 h spectroscopic period that is
believed to be the orbital period. It was present in May 2001, but not in
observations made in 1997 and 1998 and is of unknown origin. Similar
unexplained periodicities are present in FS Aur and V2051 Oph.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:15:26 GMT""}]","2009-11-07"
"astro-ph/0111584","Gabriele Ghisellini","G. Ghisellini (Osserv. Astr. di Brera, Merate, Italy)","Gamma ray bursts: some facts and ideas","29 pages, 20 figures, Invited talk at the 25th Johns Hopkins
  Workshop: ""2001: A Relativistic Spacetime Odyssey. Experiments and
  Theoretical Viewpoints on General Relativity and Quantum Gravity"", Florence,
  Sep. 2001",,,,"astro-ph",,"  Gamma Ray Bursts (GRBs) are the most explosive events after the big bang:
their energy output corresponds to a sizeable fraction of a solar mass entirely
converted into energy in a few seconds. Although many questions about their
progenitors remain to be answered, it is likely that they are generated by a
newly formed and fast spinning black hole. The colossal power characterizing
GRBs is carried by a surprisingly small amount of matter, which is accelerated
to speeds differing from c by one part in ten thousands. GRBs are then the most
(special and general) relativistic objects we know of. Since GRBs are the
brightest sources at high redshift, albeit for a limited amount of time, they
are also the best torchlights we have to shine the far universe.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:35:49 GMT""}]","2007-05-23"
"astro-ph/0111585","Slawomir Stachniewicz","M. Kutschera (1 and 2), S. Stachniewicz (1), A. Szmaglinski (3), W.
  Wojcik (3) ((1) H. Niewodniczanski Institute of Nuclear Physics, Krakow,
  Poland (2) Institute of Physics, Jagiellonian University, Krakow, Poland (3)
  Institute of Physics, Technical University, Krakow, Poland)","Structure of Proton Component of Neutron Star Matter for Realistic
  Nuclear Models","LaTeX with the APPolB style (included), 10 pages, 16 figures, to
  appear in Acta Physica Polonica B",,,,"astro-ph",,"  We study properties of the proton component of neutron star matter for a
number of realistic nuclear models. Protons which form a few percent admixture
tend to be localized in potential wells corresponding to neutron matter
inhomogeneities created by the protons in the neutron medium. We calculate the
energy of the Wigner-Seitz cell enclosing a single localized proton. The
neutron background is treated in the Thomas-Fermi approximation and the
localized proton is described by the Gaussian wave function. The neutron
density profile is obtained by solving the appropriate variational equation.
This approach gives lower energies of localized protons than obtained
previously with less sophisticated methods.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 12:52:08 GMT""}]","2007-05-23"
"astro-ph/0111586","Stefano Ettori","S. Ettori, A.C. Fabian, S.W. Allen, R.M. Johnstone","Deep inside the core of Abell 1795: the Chandra view","MNRAS in press. 15 pages","Mon.Not.Roy.Astron.Soc.331:635,2002","10.1046/j.1365-8711.2002.05212.x",,"astro-ph",,"  We present X-ray spatial and spectral analysis of the Chandra data from the
central 400 kpc (H0 = 50 km/s/Mpc) of the cluster of galaxies Abell 1795. The
plasma temperature rises outwards by a factor of 3, whereas the iron abundance
decreases by a factor of 4. The spatial distribution of Oxygen, Neon, Sulphur,
Silicon and Iron shows that supernovae Type Ia dominate the metal enrichment
process of the cluster plasma within the inner 150 kpc. Resolving both the gas
density and temperature in 9 radial bins, we recover the gravitational mass
density profile and show that it flattens within 100 kpc as rho_DM \propto
r^{-0.6} with a power law index flatter than -1 at >3 sigma level. The observed
motion of the central galaxy and the presence of excesses and deficits along
the North-South direction in the brightness distribution indicate that the
central cluster region is not relaxed. In the absence of any non-gravitational
heating source, the data from the inner ~200 kpc indicate the presence of a
cooling flow with an integrated mass deposition rate of about 100 Msun/yr. Over
the same cluster region, the observed rate of 74 Msun/yr is consistent with the
recent XMM Reflection Grating Spectrometer limit of 150 Msun/yr.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:17:31 GMT""}]","2008-11-26"
"astro-ph/0111587","David Blaschke","David Blaschke (Rostock), Sverker Fredriksson (Lulea), Ahmet Mecit
  Oztas (Ankara)","Diquark Properties and the TOV Equations","6 pages, 4 eps-figures; presented by S.F. at ""Compact Stars and the
  QCD Phase Diagram"", NORDITA, Copenhagen, August 2001; to be published in the
  proceedings","eConf C010815 (2002) 167-173",,"MPG-VT-UR 225/01","astro-ph",,"  We present various results from including diquark properties and the gap
equations into the TOV equations for compact quark objects. One such property
is the diquark form factor, which has a strong influence on various quantities.
We discuss the consequences for quark stars.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:02:35 GMT""},{""version"":""v2"",""created"":""Fri, 30 Nov 2001 22:47:38 GMT""}]","2007-05-23"
"astro-ph/0111588","Pierre-Alain Duc","Pierre-Alain Duc, Jonathan Braine, Ute Lisenfeld, Philippe Amram and
  Elias Brinks","Mass loss from galaxies: feeding the IGM, recycling in the IGM","4 pages, 3 figures, in ""The Evolution of Galaxies.II. Basic Building
  Blocks"", M. Sauvage, G. Stasinska, L. Vigroux, D. Schaerer, S. Madden, eds","Astrophys.Space Sci. 281 (2002) 347-350","10.1023/A:1019538812513",,"astro-ph",,"  As a result of internal processes or environmental effects like ram-pressure
stripping or collisions, galaxies lose a significant part of their stellar and
gaseous content. Whereas the impact of such stripping on galaxy evolution has
been well studied, much less attention has been given to the fate of the
expelled material in the intergalactic or intracluster medium (IGM/ICM).
Observational evidence exists showing that a fraction of the injected matter is
actually recycled to form a new generation of galaxies, such as the Tidal Dwarf
Galaxies discovered near numerous interacting systems. Using a set of
multiwavelength data, we are now able to roughly analyze the processes
pertaining to their formation: from an instability in the HI clouds, through
the formation of molecular gas, and to the onset of star formation.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 13:53:32 GMT""}]","2009-11-07"
"astro-ph/0111590","Alfonso Aragon-Salamanca","A. Aragon-Salamanca, B. Milvang-Jensen, G. Hau, I. Jorgensen and J.
  Hjorth","The evolution of disk galaxies in clusters","To appear in ""The Evolution of Galaxies. II. Basic Building Blocks"",
  M. Sauvage et al., eds, Kluwer (4 pages, 2 figures)","Astrophys.Space Sci. 281 (2002) 339-342","10.1023/A:1019526510696",,"astro-ph",,"  We are carrying out a programme to measure the evolution of the stellar and
dynamical masses and M/L ratios for a sizeable sample of
morphologically-classified disk galaxies in rich galaxy clusters at 0.2<z<0.9.
Using FORS2 at the VLT we are obtaining rotation curves for the cluster spirals
so that their Tully-Fisher relation can be studied as a function of redshift
and compared with that of field spirals. We already have rotation curves for 10
cluster spirals at z=0.83, and 25 field spirals at lower redshifts and we plan
to increase this sample by one order of magnitude. We present here the first
results of our study, and discuss the implications of our data in the context
of current ideas and models of galaxy formation and evolution.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:36:20 GMT""}]","2009-11-07"
"astro-ph/0111591","Susumu Inoue","Susumu Inoue (1 and 2 and 3), Dafne Guetta (2), Franco Pacini (2) ((1)
  National Astronomical Observatory, Japan; (2) Osservatorio Astrofisico di
  Arcetri, Italy; (3) Max-Planck-Institut fuer Astrophysik, Germany)","Precursor Plerionic Activity and High Energy Gamma-Ray Emission in the
  Supranova Model of Gamma-Ray Bursts","ApJ vol.583, in press","Astrophys.J.583:379-390,2003","10.1086/345080",,"astro-ph",,"  The supranova model of gamma-ray bursts (GRBs), in which the GRB event is
preceded by a supernova (SN) explosion by a few months to years, has recently
gained support from Fe line detections in X-ray afterglows. A crucial
ingredient of this model yet to be studied is the fast-rotating pulsar that
should be active during the time interval between the SN and the GRB, driving a
powerful wind and a luminous plerionic nebula. We discuss some observational
consequences of this precursor plerion, which should provide important tests
for the supranova model: 1) the fragmentation of the outlying SN ejecta
material by the plerion and its implications for Fe line emission; and 2) the
effect of inverse Compton cooling and emission in the GRB external shock due to
the plerion radiation field. The plerion-induced inverse Compton emission can
dominate in the GeV-TeV energy range during the afterglow, being detectable by
GLAST from redshifts $z \lesssim 1.5$ and distinguishable from self-Compton
emission by its spectrum and light curve. The prospects for direct detection
and identification of the precursor plerion emission are also briefly
considered.
","[{""version"":""v1"",""created"":""Fri, 30 Nov 2001 14:54:34 GMT""},{""version"":""v2"",""created"":""Sat, 1 Dec 2001 13:33:41 GMT""},{""version"":""v3"",""created"":""Sat, 9 Nov 2002 02:19:22 GMT""}]","2010-11-15"
